num,page found,term found,freq dist,author,date,secondary title,primary title,summary,text,link
11,False,,,,,,,,,
12,True,True,12.0,STAR REPORTER,02 July 2014 - 00:00,,87% of Kenyans against abortion - study,,"Majority of Kenyans do not support abortion a poll by research firm Ipsos Synovate says. According to the study ‘Perceptions towards Abortion and Homosexuality in Kenya’, 87 per cent of those surveyed said they do not support abortion on demand. The main reasons for non-support for abortion are on moral (88 per cent) and religious grounds (48 per cent). In addition there are concerns about the health risks that an abortion would pose to the mother. However those surveyed were aware of the common places that an abortion can be procured. According to the study, the myth has been that abortion is procured by quack doctors in the backstreet but the responses show that the most common places are private clinics,64 per cent while 42 per cent mentioned homes. Nine per cent of respondents said they support abortion with five per cent stating that it is tolerable when the life of the mother is in danger as provided for by Article 26 of the constitution. In addition one in every five respondents (17 per cent) stated that they know someone in their neighbourhood /community who has procured an abortion and 13 per cent stated knowing where abortion is procured in their locality. The law provides that an abortion is not permitted unless, in the opinion of a trained health professional, there is need for emergency treatment or the life or health, of the mother is in danger. Central had the highest number for acceptance of abortion on demand according to the study with 14 per cent followed by North Eastern with 12 per cent, and Nairobi with 11 per cent. Support in Nyanza, Western and Eastern was five per cent in the three regions, eight per cent in Western and five per cent in Rift Valley. The proportion of those stating ‘sometimes’ is highest in Nairobi nine per cent, Western nine per cent and Central five per cent. Support of abortion was highest in urban areas at 10 percent and amongst on those aged between 18 to 24 years with 11 per cent.",https://www.the-star.co.ke/news/2014-07-01-87-of-kenyans-against-abortion-study/
13,False,,,,,,,,,
14,False,,,,,,,,,
15,False,,,,,,,,,
16,False,,,,,,,,,
17,False,,,,,,,,,
18,True,False,0.0,PETER NG'ETICH,09 April 2015 - 06:00,,Medical negligence hearing continues on May 12,,"A teenager who suffered brain damage could not comprehend his actions when he tried to greet President Mwai Kibaki in 2010, his mother said yesterday. The boy was arrested and locked up at Central police station after the incident. “Since Jacob could not explain himself, he was bundled into a police car and driven to Central police station where he was detained for being a security risk to Kibaki,” she said. Margaret Ondeko spoke during the hearing of a case in which she and her husband John Ondeko have sued two medics and the Nairobi Hospital for negligence in an operation that resulted in their son’s brain damage. The hearing continues on May 12. Margaret said her son, Jacob Ondeko, was an active basketball player at St Mary’s High School but sustained a fracture on February 8, 2005, while in Form Three. She said he suffered severe brain damage during an aborted nasal surgery at Nairobi Hospital on February 11, 2005. Since then, Jacob reasons like a six-year-old. During the surgery, machines reportedly failed depriving Jacob’s brain of oxygen and resulting in brain cells damage. In the case before Nairobi High Court judge George Odunga, Jacob’s parents have sued Dr Praxedes Okutoyi, Chimmy Olende and the hospital. Margaret said her son will have to depend on them for the rest of his life. “He has improved slightly since he was discharged from the intensive care unit but has never regained his former self,” she said. Margaret said even after they enrolled Jacob in a special school, his life did not improve.",https://www.the-star.co.ke/news/2015-04-09-medical-negligence-hearing-continues-on-may-12/
19,True,False,0.0,OLIVER MATHENGE,18 April 2015 - 06:00,,"School land the most grabbed, say Kenyans",,"KENYANS believe most of grabbed land belongs to schools and other educational institutions, a poll by Ipsos Synovate released yesterday shows. Respondents said 35 per cent of land they know to have been grabbed belonged to schools followed by communal land (29 per cent) and agricultural land (10 per cent). The survey shows overall, 15 per cent of Kenyans are aware of land that was previously public but has been ‘grabbed’ for private use. This figure, however, ranges significantly from a high in the Coast region (29 per cent), closely followed by Nairobi (24 per cent) to just seven per cent in Western. The poll shows only about 34 per cent of all those aware of such ‘grabbing’ say any efforts are being made to recover the land, with 71 per cent of them expressing hope that such recovery can be achieved. The report shows 57 per cent of Kenyans acknowledge awareness of at least one corruption scandal since the Jubilee government came into power. ""It is worth to note, however, that several of these scandals (e.g, Anglo Leasing) have their origins in previous governments, so that the corruption at issue here relates either (or both) to payments considered illegal, or efforts to subvert ongoing investigations,"" Ipsos researcher Tom Wolf said. He said a level of awareness could be based on access to information through the media with Nairobi leading at 74 per cent and Northeastern being lowest at 37 per cent. The respondents mentioned 29 scandals which they can associate to the Jubilee government. The ChickenGate scandal, Karen land-grab, Anglo Leasing, and the aborted police recruitment were the most cited. ""It is also clear from the 29 scandals mentioned, that media coverage plays a critical role in the respondents’ recall. Among those mentioned most often all have been highlighted in the media fairly recently,"" Wolf said.",https://www.the-star.co.ke/news/2015-04-18-school-land-the-most-grabbed-say-kenyans/
20,True,False,0.0,STAR REPORTER,06 May 2015 - 06:00,,No arrest for Ndereba attackers,,"Police in Nairobi were by last evening yet to arrest any suspect in connection with the attack of athlete Catherine Ndereba at her home in Karen. Gunmen attacked the two-time world marathon winner as she drove into her Karen home on Monday night. Ndereba escaped unhurt but lost Sh44,000 an iPhone and an iPad. Nairobi CID chief Ireri Kamwende said the robbers forced themselves into Ndereba’s home as she drove in at around 8.30pm. Ndereba, who also won Olympic silver medals in 2004 and 2008, is a prison warden. None of her family members was hurt in the incident. Heavy rains at the time of the incident made it easier for the robbers to escape. She has also won four Boston and two Chicago marathons. Ndereba announced her retirement from competitive running in 2014 at age 41. Officers from the Special Crime Prevention Unit and the Flying squad have been tasked to hunt for the criminals.",https://www.the-star.co.ke/news/2015-05-06-no-arrest-for-ndereba-attackers/
21,True,False,0.0,CHARLES MGHENYI,30 May 2015 - 07:00,,"Parties meet ends in chaos, arrests",,"CHAOS yesterday marred a political parties meeting at Sai Rock Hotel in Mombasa where two people were arrested for violence and destruction of property. Khamis Wamukanda and Isaiah Ndirangu of Maendeleo Development Party and People's Democratic Party respectively were arrested after they started fighting during the meeting. The two were booked at the Bamburi police station. The meeting had been called by the Registrar of Political Parties, Lucy Ndung’u, who did not to show up. The political parties were to discuss and vote for new office holders of the Political Parties Liaison Committee. This is the second time political party leaders have failed to elect people into the PPLC after the first attempt at the Lilian Towers in Nairobi on August 28 last year. Two camps, one led by ODM nominated senator Elizabeth Ongoro and the other by former Kathiani MP Wavinya Ndeti, are fighting over the committee's leadership. Ndeti’s team claims they were legitimately elected during the last year’s election in Nairobi. “We were duly elected by about 42 political parties last year in Nairobi and we were confirmed as office holders at a second meeting at Merika Hotel in Nakuru,” she said. Ndeti said yesterday’s agenda was not election, but to engage the Independent Electoral and Boundaries Commission and the Registrar of Political Parties on the way forward of the PPLC. “We have not finished our three-year term. The opposition should wait until our term ends for them to demand elections,” she said. However, as Ndeti was addressing journalists, Ongoro and her team went ahead and elected new office holders. “Last year, we held an election in Nairobi, but the election aborted. However, some people went ahead and declared themselves as legitimate office holders. This is an amorphous body, which does not have credible officials,” Ongoro said. She said as members of political parties, they had agreed that elections of the PPLC be part of the agenda in the Mombasa retreat.",https://www.the-star.co.ke/news/2015-05-30-parties-meet-ends-in-chaos-arrests/
22,True,True,1.0,KAMORE MAINA,27 August 2015 - 05:30,,Juja MP Waititu in another sex scandal,,"JUJA legislator Francis Munyua Waititu, popularly known as Wakapee, has been linked to a fresh sex scandal, barely six months after he quietly settled another one. A 25-year-old Mpesa attendant on Tuesday night reported to the Kasarani police station that she had received death threats after she declined a proposal by the MP that she procures an abortion. Martha Wanjiru Wahome told the police she had received the threats on July 29, just hours after she rejected a proposal by the MP to terminate her now four months’ pregnancy. Wanjiru said she had received calls and text messages warning her that the Mungiki would attack her if she failed to do “as agreed with mheshimiwa”. The woman claims the MP impregnated her but fled after she informed him that she was pregnant. Wanjiru told investigators that the caller, who hid the mobile phone number, warned her of dire consequences if she failed to procure an abortion. She said the caller was not the MP and that he identified himself as a member of the Mungiki sect. She said that the the same day, Wakapee had sent her Sh20,000 through Mpesa for the abortion but she declined. “The following day Francis called me and ordered me to find a doctor and when I had done so I should get him to come and pay for the termination of the pregnancy,” Wanjiru said. “Since that time we have argued over the issue on the phone, but it's an SMS which scared me most because he [the sender] told me he would send Mungiki to deal with me if I refused what he had told me,” Wanjiru said in the statement to investigators. Yesterday, Wanjiru in an interview with the Star maintained that she would not abort but was determined to have the MP take care of their baby once she gives birth next January. Wanjiru said she was forced to move out of her house after she started receiving the death threats. Wanjiru recorded the two-page statement at the Kasarani CID offices on Tuesday, detailing her 13-month secret love life with the MP. She revealed that she met the MP for the first time in July last year, at a bus stop on Thika Road as she was heading home. She said Wakapee, who was driving in a Toyota Prado, stopped at the bus stop and introduced himself as a doctor from Kenyatta National Hospital. They exchanged numbers and that marked the beginning of their relationship during which the MP promised to marry Wanjiru as a second wife. She said her lover promised to visit her rural home in Othaya in November to meet his near-future in-laws, but this seems to have hit a brick wall when Wanjiru announced that she was pregnant. She said that the MP made her relocate from Umoja to Thika Road and also promised to start a business for her. Yesterday, the MP was unavailable to comment. He texted the Star, saying that he was in Parliament.",https://www.the-star.co.ke/news/2015-08-27-juja-mp-waititu-in-another-sex-scandal/
23,True,True,0.0,PETER NG'ETICH,28 August 2015 - 05:00,,"5 years on, CJ says graft erodes the law",,"CHIEF Justice Willy Mutunga yesterday said powerful cartels frustrate the fight against graft. If not fought with a vengeance, corruption might become the fourth arm of the government, he said. The three arms of government are the executive, judiciary and legislature. The CJ spoke at All Saints Cathedral, Nairobi, at an event marking five years since the constitution was promulgated on August 27, 2010. He called on the mainstream church to play an active role in fighting graft. “Corruption is a form of terrorism. What is the need of getting a good constitution that does not benefit its people?” Mutunga said. He said corruption kills generations as counterfeit drugs and other illegal commodities destroy lives. “I was in Nigeria recently and its army was supplied with counterfeit bullet-proof vests. When they were in the battlefield fighting Boko Haram, many were killed because of the fake vests.” Mutunga urged the church to join the war on graft, saying corruption is a sin. “The judiciary is engaged in a mighty fight against corruption and the church must support us, for to fail in that fight will be to fail God and fail the constitution.” The CJ took a swipe on churches, saying they must fight graft in their own ranks and surgically remove religious bandits preying on frustration and hopelessness. Mutunga said the constitution has been a boon to Kenyans and without it, the country would not have had a peaceful election. He dismissed claims by the clergy the constitution promotes abortions and that sharia law would be introduced through the Kadhis Court. There was a minute of silence for those who fought for the constitution. Mutunga recognised Bishops Henry Okullu, David Gitari and Alexander Muge and Rev Timothy Njoya of PCEA.",https://www.the-star.co.ke/news/2015-08-28-5-years-on-cj-says-graft-erodes-the-law/
24,True,True,0.0,KAMORE MAINA,28 August 2015 - 06:00,,New twist in Juja MP sex saga as another man claims child,,"THE Juja MP sex saga yesterday took a new twist, when a 28-year-old mobile phone dealer in Nairobi claimed responsibility for the pregnancy. Joseph Njuguna said he, not Juja MP Francis Waititu, made 25-year-old Martha Wanjiru pregnant, contrary to her allegations. Njuguna, who spoke to the Star on the phone, said he had been living in the same house with Wanjiru until three weeks ago, when she left after a disagreement. Njuguna claimed that Wanjiru became pregnant while in his house in Githurai 44, and that she had informed him that he was the father of the unborn baby. Wanjiru denied the claims by Njuguna last night and dismissed him as a jilted lover who did not wish her well. “It is not true. The man wanted to marry me, but I refused. I did not have an intimate relationship with him,” said Wanjiru. But Njuguna insisted that he is responsible for her pregnancy. He also distanced himself from social media comments that he was doing a hatchet job on behalf of some Kiambu politicians who wanted to discredit Wanjiru. Asked what his intention was, Njuguna said: “I feel bad that she has tarnished the MP’s name. She told me that I am the father of the child and I have been supporting her financially until now. “I only want the truth to be known.” Njuguna said he had been living in the same rented house with Wanjiru since March and had planned to marry her until three weeks ago, when they parted ways. Njuguna claimed that he told Wanjiru to leave his house after he learnt from her friends that she had a five-year-old son who was in her rural home in Othaya. “I did not want to marry a lady who had a child. And because I could not establish the truth about her, we parted ways,” Njuguna said. On Tuesday, the M-pesa attendant told Kasarani police that she became pregnant after a 13-month relationship with the MP popularly known as Wakapee. She also reported death threats after she declined a proposal by the MP that she procures an abortion.",https://www.the-star.co.ke/news/2015-08-28-new-twist-in-juja-mp-sex-saga-as-another-man-claims-child/
